name,ra,dec,distance,radial_velocity,h1_21_cm_mag,h1_21_cm_50pc_width,flux [Jy km/s BA^-1],uncert,note
LeoT,143.7225,17.0514, 0.42,  39, 14.85, 15,n/a,n/a,1
LeoT,143.7225,17.0514, 0.42,  39, 14.85, 15,n/a,n/a,1
LeoA,149.86,30.7464, 0.81,  24, 12.76, 19,n/a,n/a,1
UGC01281,27.3846,32.5925, 4.94, 157, 13.75,123,80.9232155414,1.1962890624999998,2
KK230,211.7946,35.0603, 2.14,  63, 16.67, 17,3.84254084419,0.30924479166666663,2
NGC0404,17.3621,35.7175, 3.05, -50, 13.43, 79,n/a,n/a,1
KKH5,16.8854,51.4403, 4.27,  61, 16.80, 37,37.0308903704,0.5696614583333333,2
KKH6,23.715,52.0917, 3.73,  60, 17.11, 28,1.59672632418,0.38248697916666663,2
UGC04879,139.0092,52.84, 1.36, -25, 16.54, 14,n/a,n/a,1
UGC08508,202.685,54.91, 2.69,  56, 14.73, 46,39.8398692164,0.43945312499999994,2
UGC08508,202.685,54.91, 2.69,  56, 14.73, 46,39.8398692164,0.43945312499999994,2
KKR59,315.8508,57.2872, 5.89,  -3,, 63,n/a,n/a,1
KKH12,36.8625,57.4878, 3.00,  70, 15.13, 48,13.5806807235,0.5696614583333333,2
KKR56,312.1004,58.6183, 5.89, -43, 15.57, 10,n/a,n/a,1
MB3,43.9317,58.8617, 3.00,  59, 13.77, 15,137.454725628,0.26041666666666663,2
Dw1,44.2338,58.9117, 2.80, 112, 11.72,187,437.845014944,1.4160156249999998,2
Dw2,43.5354,59.0053, 3.00,  94, 13.20,100,405.580935085,1.1067708333333333,2
Maffei2,40.4771,59.6031, 2.80, -15, 11.12,306,149.652291871,1.1718749999999998,2
Maffei2,40.4771,59.6031, 2.80, -15, 11.12,306,149.652291871,1.1718749999999998,2
Maffei2,40.4771,59.6031, 2.80, -15, 11.12,306,149.652291871,1.1718749999999998,2
Maffei2,40.4771,59.6031, 2.80, -15, 11.12,306,149.652291871,1.1718749999999998,2
NGC4605,190.0012,61.6081, 5.47, 151, 13.44,132,98.5874922308,1.0986328124999998,2
NGC4605,190.0012,61.6081, 5.47, 151, 13.44,132,98.5874922308,1.0986328124999998,2
UGCA092,68.0012,63.6139, 3.01, -95, 12.79, 56,n/a,n/a,1
NGC1569,67.7046,64.8481, 3.06, -86, 12.59,101,n/a,n/a,1
NGC1569,67.7046,64.8481, 3.06, -86, 12.59,101,n/a,n/a,1
UGC07242,183.5308,66.0922, 5.42,  66, 15.29, 66,-9.19567927561,0.8544921874999999,2
DDO053,128.5271,66.1792, 3.56,  19, 14.55, 30,n/a,n/a,1
CamB,73.2788,67.0992, 3.34,  78, 15.74, 21,18.9414390659,0.2522786458333333,2
DDO165,196.6117,67.7042, 4.57,  31, 14.04, 46,116.760451835,0.6347656249999999,2
NGC2976,146.815,67.9136, 3.56,   6, 13.52, 91,n/a,n/a,1
NGC2976,146.815,67.9136, 3.56,   6, 13.52, 91,n/a,n/a,1
NGC2976,146.815,67.9136, 3.56,   6, 13.52, 91,n/a,n/a,1
HIJASSJ1021+6842,155.2508,68.7, 3.70,  46, 14.90, 50,n/a,n/a,1
NGC3077,150.8375,68.7339, 3.82,  19, 11.76, 70,n/a,n/a,1
BK3N,148.4521,68.9692, 4.02, -40, 15.70, 15,n/a,n/a,1
BK3N,148.4521,68.9692, 4.02, -40, 15.70, 15,n/a,n/a,1
HolmIX,149.385,69.0431, 3.61,  50, 12.63, 50,n/a,n/a,1
MESSIER081,148.8896,69.0667, 3.63, -38, 10.03,423,n/a,n/a,1
MESSIER081,148.8896,69.0667, 3.63, -38, 10.03,423,n/a,n/a,1
A0952+69,149.3708,69.2722, 3.87,  99, 16.26, 48,n/a,n/a,1
A0952+69,149.3708,69.2722, 3.87,  99, 16.26, 48,n/a,n/a,1
A0952+69,149.3708,69.2722, 3.87,  99, 16.26, 48,n/a,n/a,1
A0952+69,149.3708,69.2722, 3.87,  99, 16.26, 48,n/a,n/a,1
HS117,155.355,71.1161, 3.96, -37, 21.30, 13,n/a,n/a,1
NGC1560,68.2079,71.8811, 3.45, -36, 10.94,119,n/a,n/a,1
CamA,66.315,72.8058, 3.93, -54, 13.25, 38,n/a,n/a,1
UGC06456,172.0025,78.9914, 4.35, -94, 14.60, 37,22.9802500317,0.31738281249999994,2
MESSIER032,10.6754,40.8664, 0.49,-202, 14.27,,n/a,n/a,1
Willman1,162.3375,51.05, 0.04, -12, 16.33,,n/a,n/a,1
KKR60,316.4708,57.2053, 5.90, -14,,,n/a,n/a,1
KDG064,151.7579,67.8275, 3.70, -15,,,n/a,n/a,1
KK35,56.3025,67.8639, 3.16, -66,,,n/a,n/a,1
IKN,152.0246,68.3992, 3.75,-140, 18.20,,n/a,n/a,1
[CKT2009]d0959+68,149.8879,68.6569, 3.60,-186,,,n/a,n/a,1
ClumpIII,150.1683,68.6603, 3.60,-121,,,n/a,n/a,1
GARLAND,150.925,68.6933, 3.82,  43, 14.88,,n/a,n/a,1
ClumpI,149.3383,68.7153, 3.60,-165,,,n/a,n/a,1
UGC08245,197.1425,78.9369, 1.99, -58,,,n/a,n/a,1
KKH37,101.9408,80.1239, 3.39,  11, 16.74,,n/a,n/a,1
