name,rv,+/-,w50,+/-,hanning level
LeoT,29.72990169286475,2.5764299382440896,7.729289814765554,5.152859876488179,1
MESSIER033,-180.89324575893892,1.2882149691220093,189.36760046120673,2.5764299382440186,0
LeoA,19.42418193985511,1.2882149691220413,20.611439505985985,2.5764299382440825,0
UGC01281,152.11032375965863,5.152859876488151,118.51577715939447,10.305719752976302,2
KK230,85.12314536522913,5.152859876521447,15.458579629464523,10.305719753042894,2
NGC0404,-,-,-,-,-
KKH5,56.7824160444776,10.305719753042915,30.917159258995632,20.61143950608583,3
KKH6,61.93527592096578,10.305719752976366,20.61143950601928,20.61143950595273,3
UGC04879,-,-,-,-,-
UGC08508,67.08813579747058,10.305719752976366,51.5285987649816,20.61143950595273,3
Cepheus1,77.39385555046358,1.2882149691553337,79.86932808569986,2.5764299383106675,0
KKR59,-,-,-,-,-
KKH12,67.08813579747058,10.305719752976344,51.5285987649816,20.61143950595269,3
KKR56,-,-,-,-,-
Dw2,91.56422021080607,1.2882149691553266,108.21005740638482,2.5764299383106533,0
Maffei2,-,-,-,-,-
NGC6946,-,-,-,-,-
KKR55,-,-,-,-,-
NGC4605,141.80460400666564,2.5764299382773856,108.21005740645138,5.152859876554771,1
UGCA105,111.5315522322144,1.2882149690887559,122.38042206676059,2.5764299381775118,0
UGCA092,-106.82088503428827,1.2882149691220377,10.305719752976358,2.5764299382440754,0
NGC1569,-,-,-,-,-
NGC2403,-,-,-,-,-
UGC07242,-,-,-,-,-
DDO053,-,-,-,-,-
CamB,79.97028548872431,5.152859876454897,25.76429938247415,10.305719752909795,2
DDO165,38.74740647675234,5.152859876488176,46.37573888849343,10.305719752976351,2
NGC2976,-,-,-,-,-
IC0342,-,-,-,-,-
IC2574,-,-,-,-,-
HIJASSJ1021+6842,-,-,-,-,-
NGC3077,-,-,-,-,-
Cas1,-,-,-,-,-
NGC2366,103.80226241751541,1.2882149691553195,94.03969274600905,2.576429938310639,0
NGC4236,-,-,-,-,-
NGC6503,-,-,-,-,-
HS117,-,-,-,-,-
NGC1560,-,-,-,-,-
CamA,-,-,-,-,-
UGC06456,-,-,-,-,-
KKR60,-,-,-,-,-
KDG064,-,-,-,-,-
KK35,-,-,-,-,-
IKN,-,-,-,-,-
UGC08245,-,-,-,-,-
KKH37,-,-,-,-,-
